locality,state,postcode,count,latitude,longitude
Melbourne,VIC,3000,117844,-37.8127,144.9604
Southbank,VIC,3006,49606,-37.8253,144.9628
Sydney,NSW,2000,46593,-33.8705,151.2073
Surfers Paradise,QLD,4217,36525,-28.003,153.4275
Port Macquarie,NSW,2444,33862,-31.4485,152.9024
Adelaide,SA,5000,30967,-34.9277,138.6004
Southport,QLD,4215,30061,-27.9707,153.4059
Reservoir,VIC,3073,29712,-37.7139,145.0101
Tarneit,VIC,3029,29239,-37.8388,144.6677
Docklands,VIC,3008,28587,-37.8188,144.9446
Werribee,VIC,3030,27675,-37.9,144.6484
South Yarra,VIC,3141,27667,-37.839,144.9928
Pakenham,VIC,3810,26348,-38.0713,145.4756
Carlton,VIC,3053,26333,-37.8014,144.9656
Point Cook,VIC,3030,26250,-37.8973,144.7435
Dubbo,NSW,2830,25907,-32.2545,148.615
Craigieburn,VIC,3064,25803,-37.5887,144.9164
Blacktown,NSW,2148,25774,-33.7727,150.9044
Parramatta,NSW,2150,25282,-33.8153,151.0064
Orange,NSW,2800,25097,-33.2789,149.096
Frankston,VIC,3199,24350,-38.1477,145.1407
Bankstown,NSW,2200,24063,-33.9181,151.0329
Richmond,VIC,3121,23835,-37.8189,145.0014
Berwick,VIC,3806,23341,-38.0443,145.3431
Castle Hill,NSW,2154,22501,-33.7292,151.0019
Preston,VIC,3072,22432,-37.7414,145.006
St Kilda,VIC,3182,22100,-37.8636,144.9823
Mildura,VIC,3500,22046,-34.1965,142.1451
Brisbane City,QLD,4000,21940,-27.4683,153.0268
Sunbury,VIC,3429,21934,-37.5779,144.7235
Warrnambool,VIC,3280,21606,-38.3759,142.4898
Liverpool,NSW,2170,21604,-33.9238,150.9195
Glen Waverley,VIC,3150,21140,-37.881,145.1653
Randwick,NSW,2031,20850,-33.9133,151.2434
Truganina,VIC,3029,20706,-37.8193,144.7153
Hurstville,NSW,2220,20513,-33.9647,151.1026
Perth,WA,6000,20427,-31.951,115.8605
Clyde North,VIC,3978,19838,-38.101,145.352
Coffs Harbour,NSW,2450,19752,-30.291,153.1179
Maroochydore,QLD,4558,19701,-26.6548,153.0855
Ryde,NSW,2112,19589,-33.8134,151.1053
Surry Hills,NSW,2010,19423,-33.8846,151.2121
Shepparton,VIC,3630,19218,-36.3788,145.4048
Dandenong,VIC,3175,19202,-37.9851,145.2112
Mosman,NSW,2088,18941,-33.8272,151.2407
Baldivis,WA,6171,18871,-32.3348,115.814
Mount Waverley,VIC,3149,18831,-37.8774,145.1291
Brunswick,VIC,3056,18687,-37.7669,144.9618
Wollongong,NSW,2500,18600,-34.4241,150.8933
North Melbourne,VIC,3051,18553,-37.7991,144.9488
St Albans,VIC,3021,18210,-37.7434,144.8042
Maroubra,NSW,2035,18154,-33.9437,151.2446
Buderim,QLD,4556,18139,-26.685,153.0645
Chatswood,NSW,2067,18136,-33.7965,151.1828
Marrickville,NSW,2204,17907,-33.9105,151.1541
Caboolture,QLD,4510,17719,-27.0706,152.9525
Hawthorn,VIC,3122,17519,-37.8233,145.0327
Auburn,NSW,2144,17364,-33.8538,151.0303
Melbourne,VIC,3004,17309,-37.8425,144.977
Epping,VIC,3076,17294,-37.6401,145.026
Hoppers Crossing,VIC,3029,17131,-37.8675,144.6928
Mornington,VIC,3931,17007,-38.2297,145.0476
Cheltenham,VIC,3192,16895,-37.9632,145.0613
Penrith,NSW,2750,16576,-33.7522,150.7001
Armidale,NSW,2350,16492,-30.5109,151.6633
Dee Why,NSW,2099,16468,-33.7531,151.2888
Epping,NSW,2121,16432,-33.7729,151.0778
Mount Gambier,SA,5290,16407,-37.8246,140.7824
