state,postcode,count,latitude,longitude
VIC,3000,117844,-37.8127,144.9604
QLD,4350,71800,-27.5687,151.9387
VIC,3029,67076,-37.8401,144.6888
NSW,2000,61957,-33.871,151.2067
NSW,2170,59999,-33.9293,150.9172
VIC,3030,55882,-37.9006,144.6949
VIC,3064,54917,-37.5749,144.9256
QLD,4870,53134,-16.9174,145.7426
QLD,4217,51900,-28.0009,153.4211
QLD,4670,51455,-24.8581,152.3563
WA,6210,51056,-32.5374,115.7202
VIC,3977,50919,-38.1064,145.2727
QLD,4740,50895,-21.1276,149.1724
VIC,3006,49915,-37.8253,144.9627
NSW,2250,46316,-33.4159,151.344
QLD,4551,46102,-26.8005,153.1075
QLD,4655,45648,-25.2979,152.8393
QLD,4215,44639,-27.9626,153.4042
QLD,4207,43944,-27.7383,153.1809
NSW,2145,43677,-33.812,150.9647
VIC,3350,41219,-37.5629,143.8493
NSW,2560,39329,-34.0823,150.8127
NSW,2650,37978,-35.1294,147.3583
NSW,2259,37551,-33.234,151.482
NSW,2444,36332,-31.4482,152.8983
NSW,2540,35676,-35.0397,150.6451
QLD,4305,34660,-27.6197,152.7564
VIC,3175,34478,-37.9836,145.2116
NSW,2148,34222,-33.7705,150.9037
NSW,2340,34166,-31.1051,150.9219
NSW,2261,34109,-33.358,151.4717
WA,6163,34097,-32.0844,115.7945
QLD,4209,34066,-27.8475,153.3095
WA,6112,33663,-32.1439,115.9751
QLD,4218,33130,-28.0375,153.429
VIC,3199,33090,-38.1539,145.1372
QLD,4680,33036,-23.9148,151.2612
WA,6065,32958,-31.7761,115.8251
NSW,2155,32828,-33.6969,150.9407
QLD,4211,32797,-27.9957,153.326
NSW,2750,32549,-33.757,150.6885
QLD,4510,32485,-27.0818,152.9577
WA,6164,32067,-32.1367,115.8456
NSW,2010,31713,-33.8819,151.2147
VIC,3216,31623,-38.1856,144.3258
QLD,4300,31452,-27.6522,152.9026
QLD,4000,31216,-27.4664,153.0258
TAS,7250,31194,-41.445,147.1383
SA,5000,30967,-34.9277,138.6004
NSW,2450,30963,-30.2777,153.1037
NSW,2765,30949,-33.6673,150.8604
VIC,3150,30678,-37.8898,145.1709
NSW,2500,30534,-34.4232,150.8868
NSW,2200,29981,-33.9192,151.0286
QLD,4101,29956,-27.4808,153.013
VIC,3073,29712,-37.7139,145.0101
ACT,2620,29688,-35.3611,149.2292
QLD,4570,29385,-26.1785,152.6472
NSW,2153,29063,-33.7539,150.9765
NSW,2570,28994,-34.0431,150.6978
NSW,2480,28954,-28.7837,153.2978
NSW,2800,28660,-33.2808,149.0924
NSW,2150,28643,-33.8161,151.007
VIC,3008,28587,-37.8188,144.9446
VIC,3550,28562,-36.7599,144.2898
VIC,3978,28142,-38.1091,145.3506
QLD,4006,28126,-27.4526,153.0367
QLD,4216,27977,-27.9085,153.3939
WA,6230,27939,-33.3562,115.643
QLD,4556,27776,-26.6928,153.0578
VIC,3141,27667,-37.839,144.9928
NSW,2795,27197,-33.4294,149.5831
VIC,3121,27093,-37.8201,145.0008
VIC,3023,27030,-37.7504,144.756
VIC,3810,26952,-38.0706,145.4763
QLD,4220,26862,-28.0863,153.4384
NSW,2830,26808,-32.2523,148.6146
QLD,4306,26606,-27.6042,152.7549
VIC,3053,26333,-37.8014,144.9656
QLD,4053,26333,-27.4004,152.9907
NSW,2747,26161,-33.7508,150.7341
NSW,2640,26140,-36.0612,146.9428
WA,6107,26017,-32.0157,115.9509
NSW,2065,25966,-33.8252,151.1966
NSW,2077,25944,-33.6971,151.1026
NSW,2770,25878,-33.7534,150.8142
QLD,4034,25768,-27.3585,153.034
QLD,4503,25619,-27.2525,153.0022
QLD,4152,25352,-27.4993,153.0956
VIC,3020,25343,-37.7832,144.8242
WA,6056,25152,-31.8839,116.0294
NSW,2026,25072,-33.8901,151.2709
QLD,4122,25052,-27.544,153.0887
WA,6330,25009,-35.0015,117.8759
NSW,2099,24987,-33.7508,151.285
NSW,2430,24777,-31.9396,152.4976
VIC,3021,24773,-37.7419,144.7983
NSW,2017,24584,-33.9027,151.2083
VIC,3182,24532,-37.863,144.9813
NSW,2478,24067,-28.8437,153.5665
QLD,4814,23982,-19.294,146.7588
NSW,2428,23958,-32.2127,152.5117
VIC,3136,23922,-37.7916,145.2822
QLD,4701,23903,-23.3452,150.5307
VIC,3806,23885,-38.0432,145.3433
QLD,4650,23738,-25.5749,152.6869
NSW,2031,23620,-33.9131,151.2456
NSW,2166,23266,-33.8913,150.9341
VIC,3338,22819,-37.7204,144.5712
VIC,3280,22717,-38.3749,142.4877
NSW,2011,22714,-33.872,151.2241
VIC,3805,22579,-38.0355,145.3044
QLD,4500,22574,-27.3022,152.9655
QLD,4214,22535,-27.9654,153.3696
WA,6018,22515,-31.8913,115.7881
NSW,2154,22501,-33.7292,151.0019
VIC,3072,22432,-37.7414,145.006
WA,6155,22417,-32.0697,115.9106
NSW,2112,22201,-33.8136,151.1051
VIC,3429,22068,-37.5778,144.7239
VIC,3500,22046,-34.1965,142.1451
VIC,3195,21986,-38.0048,145.097
NSW,2320,21913,-32.7172,151.5266
NSW,2580,21737,-34.743,149.7294
QLD,4560,21707,-26.6256,152.9609
WA,6061,21693,-31.8658,115.8452
NSW,2220,21623,-33.9654,151.1021
NSW,2230,21541,-34.0552,151.1498
NSW,2066,21507,-33.8134,151.1634
QLD,4573,21456,-26.5191,153.0845
QLD,4558,21266,-26.6551,153.0833
VIC,3754,21251,-37.5986,145.1059
WA,6530,21186,-28.7703,114.6272
VIC,3163,20985,-37.8926,145.0576
ACT,2615,20941,-35.2124,149.0286
NSW,2251,20830,-33.4728,151.3932
